index	query
ws0001	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3343030527","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0002	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3343030527","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0003	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3343030527","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0004	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_3343030527","value":{"min":2}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0005	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2948997921","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0006	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2948997921","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0007	"type":"Titanium Haewark Hamlet Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2948997921","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0008	"type":"Titanium Lira Arthain Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2948997921","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0009	"type":"Titanium Valdo's Rest Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2122828636","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
ws0010	"type":"Titanium Glennach Cairns Watchstone","stats":[{"type":"and","filters":[{"id":"explicit.stat_2122828636","value":{"min":36}}]}],"filters":{"type_filters":{"filters":{"rarity":{"option":"nonunique"}}}}
